RELIGION,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S/N,Company Name,Physical Adress,Hotline,Specialization,RC No/ Date,Branch Offices,Product/ Services,Email,Website,Business Days/ Hours
322,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHURCH INC.,Plot 253 Etta Agbor Layout Opp Unical Halla 2 Gate Calabar,,,,,,,,Tuesday: 6pm ( Bible Study)                Thursday: 6pm (Healing Service)                 Sunday: 9am
323,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHURCH INC.,9 Inyang Street Calabar ,,,,,,,,Tuesday: 6pm (Bible Study)                   Thursday: 6pm (Healing Service)                         Sunday: 9am
324,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHURCH INC.,"District Headquarters Kasuk Town Assembly, Otop Otop Diocese Calabar",,,,,,,,"Sunday: 9am (Sunday School), 10am (Divine Service)"
325,MOUNT ZION LIGHT HOUSE FULL GOSPEL CHURCH INC.,242 M/M Highway Calabar,,,,,,,,Sunday: 8am
326,MOUNT ZION OLIVE ZION CHURCH OF NIGERIA INT'L,6B Gregory Effiong Street Ikot Ansa Calabar,,,,,,,,Sunday: 8 - 10am (Sunday School)          10 - 12pm (Worship)
327,MOUNTAIN OF FIRE AND MIRACLE MINISTRIES,90 IBB Way Calabar,,,,,,,,Monday: 6 - 8pm       Wednesdday: 6 - 8pm                     Sunday: 8 - 11am 
328,MOUNTAIN OF FIRE AND MIRACLE MINISTRIES,82 Egerton Street Calabar,,,,,,,,Sunday: 8am
329,MOUNTAIN OF FIRE AND MIRACLE MINISTRIES,250 Old Odukpani Road Calabar,,,,,,,,Monday: 5-7:30m      Wednessday: 5;30-7:30pm (Revival)       Sunday: 8am-11am
330,MOUNTAIN OF FIRE AND MIRACLE MINISTRIES,71 Ibesikpo By Ambo Street Calabar ,,,,,,,,Monday: 6 - 7am           Wednessday: 5:30 - 7:30pm                   Sunday: 8 - 11am 
331,MOUNTAIN OF FIRE AND MIRACLE MINISTRIES,17 King Street Big Qua Calabar,,,,,,,,Monday: 5:30pm           Wednessday: 5:30pm     Sunday: 8am
332,MOUNTAIN OF FIRE AND MIRACLE MINISTRIES,34 Edibe Edibe Road Calabar,,,,,,,,Monday: 6 - 8pm       Wednessday: 6 - 8pm                      Sunday: 8 - 10am                     Tarry Night holds Last Friday of every month
333,MOUNTAIN OF FIRE AND MIRACLE MINISTRIES (HEADQUARTERS),3 MFM Avenue Off Atimbo Road Calabar,,,,,,mfmcalabarhq@yahoo.com,mountainoffirecalabar.org,Tuesday: 5:30 - 8pm   Thursday: 5:30 - 8pm       Sunday: 8am 
334,MOUNTAIN OF FIRE AND MIRACLE MINISTRY,37 Musaha Street Calabar,,,,,,,,Monday: 6 - 8pm       Wednesdday: 6 - 8pm                     Sunday: 8 - 11am                     Tarry Night holds Last Friday of every month
335,MOUNTAIN OF FIRE AND MIRACLE MINISTRY,17 Eyo Eta Street Calabar,,,,,,,,Monday: 6 - 8pm       Wednesdday: 6 - 8pm                     Sunday: 8 - 11am                     Tarry Night holds Last Friday of every month
336,MOUNTAIN OF FIRE AND MIRACLES MINISTRY,1 MFM Avenue Off Atimbo Calabar,,,,,,,,Monday: 5:30pm     Wenessday: 5:30pm Sunday: 8am
337,MOUNTAIN OF GRACE MINISTRIES,10 New Airport Road Calabar,,,,,,,,Tuesday: 5pm                Wednessday: 8 - 12pm Friday: 6 - 8pm
338,NATIONAL EVANGELICAL MISION INC. (THE HOLY PEOPLE THAT LOVE),3 Nyatowo Street Calabar,,,,,,,,Tuesday: 5:30pm      Thursday: 5:30pm         Sunday: 10am
339,NAVAL CHRISTIAN CHAPEL,Atimbo Navy Barracks,,,,,,,,Monday: 6pm            Wednessday: 6pm      Sunday: 8am
340,NEW COVENANT RESTORATION MINISTRY,10 Edem Okon Street Calabar,,,,,,,,Monday: 6pm                 Tuesday: 6pm                Thursday: 7am               Friday: 7am              Sunday: 8am(1st Service)    10am (2nd Service)
341,NEW JERUSALEM GOSPEL MINISTRIES ,54 Mayne Avenue Street Calabar,,,,,,,,Tuesday: 8am               Friday: 6 - 9pm             Sunday: 9am
342,NEW LIFE IN CHRIST MISSION,6 Iyasa Street Ikorinim Calabar,,,,,,,,Tuesday: 7 - 8:30pm      Friday: 7 - 8:45pm        Sunday: 8 - 11am
343,OARTNER'S OF FAITH CHRISTIAN CENTRE,34 Atu Street Calabar,,,,,,,,Monday: 6 - 8:30pm       Wednessday: 6 -7pm     Friday: 8 - 12pm      Sunday: 9 - 11:45am
344,OPEN BIBLE STANDARD CHURCH ,11 Asuquo Ekpo Street Calbar,,,,,,,,Wednessday: 5pm          Saturday: 6pm             Sunday: 9am
345,OVERCOMERS CHURCH (AKA OVERCOMERS BIBLE MINISTRY INC.),"255B Etta Agbor Layout Behind Unical Hall 2, Calabar ",08034326990  08023441166,,,,,,,Tuesday & Thursday: 5pm                                  Wednessday & Friday: 10-4pm                            Sunday: 8am
346,PENTECOSTAL ASSEMBLY OF THE WORLD ,39 Mayne Avenue Calabar,,,,,,,,Tuesday: 5pm                Thursday: 5pm              Saturday: 7 - 9pm Sunday: 9am
347,PENTECOSTAL CHURCH OF NIGERIA,"3 Inua Bassey Close off Afokang Street, Calabar",08037028419 08023903989,Church,,,,,,Sundays           8.30am - 12.30pm
348,PENTECOSTAL CHURCH OF NIGERIA,"3 Inua Bassey Close off Afokang Street, Calabar",08037026419      08038398842,,,,,,,Tuesday: 5pm              Thursday: 6 - 8pm          Sunday: 9 - 12pm
349,PENTECOSTAL CHURCH OF NIGERIA,8 Effio Ene Street Calabar,,,,,,,,Tuesday: 5pm             Wednessday: 5pm            Sunday: 10-12pm
350,PENTECOSTAL CHURCH OF NIGERIA INC. (VICTORY ARENA),Itak Ikot Assemblies Ikot Omin Calabar,,,,,,,,Sunday:  9 - 12pm
351,PILGRIM HARVEST INT'L PRAYER NETWORK,49 Abang Asang Street Calabar,,,,,,,,Sundy: 8am 
352,PILGRIM HARVEST INTERNATIONAL PRAYER NETWORK,"49, Abang Asang Street Off IBB Way Calabar",,,,,,,,Monday: 5 - 7pm        Tuesday: 8 - 12pm     Sunday: 8am
353,PILGRIM HARVEST OF NIGERIA,44 Abong Aseng Street Calabar,,,,,,,,Monday: 5 - 7pm        Tuesday: 8 - 12pm     Sunday: 7 - 10:30am
354,PILLAR OF POWER MINISTRY ,28 Eyo Ita Street Calabar,,,,,,,,Tuesday: 6pm               Thursday: 6pm  Sunday: 9am
355,POOL OF MIRACLE CHURCH,51 Atamunu Street Calabar,,,,,,,,Monday: 8 - 12pm         Wednessday: 4 - 7pm    Friday: 6 - 8pm          
356,POWER CITY INTERNATIONAL,117 Old Odukpani Opp Flour Mill Calabar,,,,,,,,Tuesday: 6pm                Sunday: 8am (1st Service)   10am (2nd Service)
357,POWER OF FAITH BIBLE CHURCH,170 MCC Road Calabar,,,,,,,,Tuesday: 5pm            Friday: 5pm                Sunday: 9am
358,POWER STATION INT'L CHURCH,8 Balantyne Street Calabar,,,,,,,,Monday: 6pm            Wednessday: 6pm                 Sunday: 9am
359,PREVAILING PLACE MISSION,5 Uwanse Close Calabar,,,,,,,,Tuesday: 6pm           Thursday: 5pm         Sunday: 8am
360,PROPHETIC LIFE LINE MINISTRY,41 Yellow Duke Street Calabar,08082481878   08093885678,,,,,,,Wednessday: 5pm   Sunday: 9am
361,QUA IBDE CHURCH,16 Abasi Orok Street Calabar,,,,,,,,Wednessday: 5 - 7pm   Friday: 5 - 7pm         Sunday: 10 - 1pm      
362,QUA IBOE CHURCH OF NIGERIA,12 Mbukpa Road Calabar,,,,,,,,Wednesdday: 5 - 7pm   Friday: 5 - 7pm               Sunday: 9 - 12pm
363,RADAH CHRISTIAN CENTRE,162 MCC Road after Orange Resort Calabar,,,,,,,,Tuesday: 6pm             Thursday: 6pm             Sunday: 9am
364,RAPHA MISSIONS ASSEMBLY,1 Victor Ndoma Egba Street Asari,8023204159,,,,,raphamissions@yahoo.com,,Wednessday: 5:30 - 7:30pm                   Sunday: 8:30 - 11am
365,REALM OF GLORY INT'L CHURCH,4 Iyata Street Ikot Eka Edem Calabar,,,,,,,,Wednessday: 6pm (Word Clinic)        Sunday: 9am (Worship Service)
366,REHOBOTH CITY,145 Asari Eso Layout Calabar,,,,,,,,Tuesday: 6pm         Thursday: 6pm           Sunday: 10am
367,REINERS FAMILY CHAPEL INT'L,35 Oyo Efam Street Calabar,,,,,,,,Tuesday: 6am              Thursday: 6 - 8pm       Friday: 6pm         Sunday: 10 - 12pm
368,RESTORATION COVENANT LIFE MINISTRIES,"1 Thomas Ishie Road, Ikot Ishie Calabar",,,,,,,,Wednessay: 5-7pm Friday: 5-6pm              Sunday: 8-10:30am
369,RESTORATION MINISTRY INC.,58 Howell Street Calabar,,,,,,,,Tuesday: 5 - 8pm         Thursday: 5 - 8pm      Sunday: 6am (1st Service)  9am (2nd Service)
370,RESTORATION VINE MINISTRY ,"Opposite Global Dreams Hotel Federal Housing Estate Old Odukpani Road, Ikot Ansa Calabar",8037806181,,,,,,,Sunday: 8 - 12pm
371,REVELATION MINISTRIES INT'L INC.,"4 Ekeng Lane (Revelation Close) New Airport Road, Calabar",,,,,,,,Sunday: 8am 
372,REVELATION MINISTRIES INT'L INC.,4 Ekong Lane Calabar,,,,,,,,Monday: 6 - 8pm       Wednesdday: 6 - 8pm    Friday: 6 - 8pm                   Sunday: 8 - 12pm 
373,REVIVAL VALLEY MINISTRIES ,13 Ekpo Abasi Street Calabar ,,,,,,,,Wednessday: 6pm        Friday: 6pm             Sunday: 8am
374,REVIVAL VALLEY MINISTRIES ,Essein Etim Offiong Layout Opp House Of Assembly Quarters,,,,,,,,Wednessday: 6pm      Friday: 6pm                  Sunday: 8am
375,RICH FAITH ASSEMBLIES NIGERIA,"28 Ediba Qua Town, Calabar",08130318826 07061034169,church Service,,,,,,Sunday 9am             Wenesday 6pm Friday 6pm
376,RIVER OF ABUNDANT LIFE OF GRACE GOSPEL CHURCH INC.,53 Mayne Avenue Calabar,,,,,,,,Monday: 6 - 8pm       Wednesdday: 6 - 8pm    Friday: 6 - 8pm                   Sunday: 9 - 12pm 
377,ROYAL BANNER OF GOD MISSION,12 Abitu Avenue Calabar,,,,,,,,Wednessday: 7pm   Thursday: 6am             Friday: 7pm             Sunay: 10am
378,ROYAL FAMILY FELLOWSHIP ,38 Edibe Edibe Road Calabar,08063609252    08080780801,,,,,,,Monday: 4 - 6pm          Tuesday: 6 - 12:30pm   Thursday: 6 - 12:30pm
379,ROYAL FAMILY OF GOD MISSION,89 Uwanse Street Calabar,,,,,,,,Wednesssday: 6pm       Friday: 6pm                 Saturday: 6pm        Sunday: 10am
380,ROYAL GOD'S COMMANDMENT MINISTRY,6 Abua Street Calabar,,,,,,,,Monday: 5pm       Wednessday: 9am Thursday: 6pm                     Sunday: 10am                     
381,SALVATION MINISTRIES,"Plot 206 Etta Agbor Layout By Unical Hall 2 Road, Calabar",,,,,,,www.smhos.org,Sunday: 6:30am (1st) 8am (2nd) 9:30am (3rd) 11am (4th) 12:30pm (5th) 
382,SANCTUARY OF LIGHT GLOBAL MISSION,14 Okoho Ephraim Street Calabar,,,,,,,,Monday: 6pm            Wednessday: 6pm      Thursday: 6pm    Friday: 6pm              Sunday: 9am
383,SCRIPTURE UNION (NIG) CALABAR AREA,"15 Harcourt Street, Calabar","08139091240, 08067634955",Religious Organisation,,,,,,Monday - Sarturday 8am - 6pm
384,SEVENTH-DAY ADVENTIST CHURCH,152 M/M Highway Calabar,,,,,,,,Saturdays: 8am
385,SHEPARD'S PORCH,Akai- Efa Apostolic Street Calabar,,,,,,www.theporchpastor@yahoo.com,www.shepardporch.org,Wednessday: 5pm (at Diamond Hill Branch)          Sunday: 9- 12pm
386,SHILOH DELIVERANCE MINISTRY INT'L,47C Atamunu Street Calabar,08033859489   08051883981,,,,,,,"Wednessday:  5 - 6pm                 Sunday: 6:30 - 9am, 9:30 - 12pm"
387,SHILOH EVANGELICAL MISSION,74 Uwanse Street Calabar,,,,,,,,Wednessday: 6pm           Sunday: 10am
388,SHOWERS OF GOD'S GRACE CENTRE,17 William George Street By Ephraim Street Calabar,,,,,,,,Sunday: 9am (Sunday School)
389,SOLUTION OUTREACH INT'L MINISTRIES (CITY OF SETTLEMENT),4 Archibong Eso Street Calabar,,,,,,,,Tuesday: 5- 7pm (Bible Study)                   Sunday: 8am 
390,SOUGHT OUT EVANGELICAL DELIVERNACE & PROPHETIC MINISTRY,12 Egerton Street Calabar,,,,,,,,Sunday: 8am 
391,SPIRIT END LIFE BIBLE CHURCH,Apostolic StreetCalabar,,,,,,,,Friday: 5pm                    Sunday: 8am
392,SPRING OF LIVING WATER GOSPEL CHURCH,20 Edgerly Road Calabar,,,,,,,,Sunday: 8am
393,ST JUDE ANGLICAN CHURCH (DIOCESE OF CALABAR),4 Eke Effiong Nta Street Calabar,,,,,,,,Friday: 5pm (Bible Stuy)                              Sunday: 8-12pm
394,ST. MARY'S PRO CATHEDRAL ,Howell Street Efut Abua Calabar,,,,,,,,Tuesday: 6am               Wednessday: 6am         Thursday: 6am        Friday: 6am                  Sunday: 6am (Efik)  8am (English)  10am (English & Latin)
395,ST. MATTHEW'S AFRICAN CHURCH,7 Ene Edet Street,,,,,,,,Tuesday: 7:30 - 10pm     Wednessday: 6 - 7:30pm                             Thursday: 7:30 - 10pm    Sunday: 9 - 12pm
396,TARGET POINT CHURCH INT'L 9THE KINGS PALACE),85 White House Street Calabar,,,,,,,,Sunday 8am
397,THE ACCOUNT OF GOD CHURCH,"19 Etta Agbor Avvenue, Calabar",,,,,,,,Monay- Saturday: Prayer Metting
398,THE AFRICAN APOSTOLIC CHURCH,50/64 New Airport Road Calabar,,,,,,,,Tuesday: 6 - 8pm         Thursday: 7 - 9pm           Sunday: 10am
399,THE AFRICAN CHURCH (AKA ZION),60 White House Street Calabar,,,,,,,,Sunday: 9am
400,THE ALMIGHTY GOD'S GLORIOUS CHURCH INT'L (POSIBILITY ARENA),"Headquarters Branch, 144B Old Odukpani Road 4miles Ikot Ansa Calabar",,,,,,,,"Sunday: 6:30 - 9:30am(Glorious Prophetic Service)  Last Sunday of Every Month: 6- 9pm (miracle,healing & Deliverance) "
401,THE APOLISTIC CHURCH,15 Ediba Road Calabar,,,,,,,,Tuesday: 7pm Wednessday: 5pm   Friday: 7pm             Sunay: 9am
402,THE APOLISTIC FAITH,"4 Ekpeyong Bassey Close, Nyahasang Calabar",,,,,,,,Tuesday: 5pm                Thursday: 5pm             Sunday: 9am (Sunday School) 9:40am (Children Service) 10:45am (Devotional Service) 2pm (Youth Service)
403,THE APOSTOLIC CHURCH,"Ikot Ansa II Asembly, Ikot Eneobong District Calabar",,,,,,,,Sunday: 10 - 12pm
404,THE APOSTOLIC CHURCH,Etta Agbor Layout Assembly Obufa Esuk District Calabar,,,,,,,,Sunday: 9am
405,THE APOSTOLIC CHURCH,Okokon Ekpeyong Street Calabar,,,,,,,,Tuesday: 7 - 8pm         Sunday: 9 - 12pm
406,THE APOSTOLIC CHURCH,90 Asari Eso Street Calabar,,,,,,,,Tuesday: 7pm            Wednessday: 5pm         Friday: 7pm             Sunday: 9am
407,THE APOSTOLIC CHURCH,16 Balantyne Street Calabr,,,,,,,,Tuesday: 7pm            Wednessday: 5pm         Friday: 7pm             Sunday: 9am
408,THE APOSTOLIC CHURCH ,2 Archibong Eso Lane Calabar,,,,,,,,Sunday 9am
409,THE APOSTOLIC CHURCH  ,96 Esierebom Street Calabar,,,,,,,,Tuesday: 7pm             Wenessday: 5pm       Friday: 7pm           Sunday: 9am  
410,THE APOSTOLIC CHURCH NIGERIA,"Edgerly District, Edgerly Road Calabar",,,,,,,,Sunday 9am
411,THE APOSTOLIC CHURCH NIGERIA,Ikot Ansa District Headquaters New Obutong Area Calabar,,,,,,,,Sunday: 10 - 12pm
412,THE APOSTOLIC CHURCH NIGERIA,Ikot Anatim 1 Assembly Anatim District Headquarters New Obutung Area,,,,,,,,Sunday: 9am
413,THE APOSTOLIC CHURCH NIGERIA (AKPARIKA ASSEMBLY),23 Abasi Edem Street Calabar,,,,,,,,Sunday: 9am
414,THE APOSTOLIC MOUNT OLIVE CHURCH,20 Ekpo Abasi Street Calabar,,,,,,,,Monday: 5pm   Wednessday: 8am (Faith Clinic)        Sunday: 8am (Miracle Service)
415,THE ARENA OF TRUE ZION CHURCH,72 Mbukpa Road Calabar,,,,,,,,Tuesday: 6am      Thursday: 5pm           Sunday: 9am
416,THE BETHLEHEM OF JUDAH ZION CHURCH OF NIGERIA,"Kasuk Town Headquarters, 8 Ayito Close Ikot Ansa Calabar",,,,,,,,"Sunday: 9am (Sunday School), 10am (Divine Service)"
417,THE BIBLE BAPTIST CHURCH,10 Old Parliamentary Road Behind Noble Hotel Calabar,,,,,,,,Wednessday: 5pm             Sunday: 8am (1st Service)   10am (2nd Service)
418,THE BLESSED LAND OF DELIVERANCE CHURCH,9/11 Usoro Street Calabar,,,,,,,,Monday: 6pm             Tuesday: 8 - 1pm           Thursday: 8 - 3pm          Friday: 5 - 7pm            Sunday: 9 - 1pm
419,THE CHURCH OF CHRIST,146B Old Odukpani Road Ikot Ansa Calabar,,,,,,,,Sunday: 9 - 11:30am
420,THE CHURCH OF CHRIST,6 Umoh Okon Street Calabar,,,,,,,,Monday: 6 - 7:30pm     Friday: 7 - 8:30pm                Sunday: 9 - 12:30pm
421,THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,76 Yellow Duke Street Calabar,,,,,,,,"Sunday: 8:30 - 11:30am, 10:30 - 1:30pm"
422,THE CROWN OF VICTORY ZION CHURCH,22 Elijah Henshaw Street Calabar,,,,,,,,Tuesday: 6pm                  Thursday: 6pm                Sunday: 10am
423,THE DIVINE MOUNT OF DELIVERANCE MINISTRY INC.,8 Okoho Ephraim Street Calabar,,,,,,,,Tuesday: 6pm             Thursday: 6pm             Sunday: 10am
424,THE DIVINE VOICE DELIVERANCE CHURCH INC.,33 Edgerly Road Calabar,,,,,,,,Sunday: 8am
425,THE EAGLES EVANGELICAL MINISTRIES,120 Old Ikang Road,,,,,,,,Sunday: 8am
426,THE END-TIME WARRIOR MINISTRY INC,105 Mcc Calabar,"08037376134, 08032969396",church Service,,,,,,Sunday 9am             Wenesday 5pm
427,THE GOD'S PEOPLE CHURCH ,14 Canaan Avenue Nyahasang,,,,,,,,Tuesday: 6:30pm      Wednessday: 5pm   Friday: 6:30pm            Sunday: 9am
428,THE GOD'S SPIRIT TOUCH CHURCH INT'L (AKA CHOSEN CHAPEL),Plot 4 Block 8 Mma Giwa Road Calabar,,,,,,,,Sunday: 7 - 12pm
429,THE GOSPEL FAITH MISSION INT'L ,5 Ita Odionka Street Calabar ,,,,,,,,Tuesday: 6pm            Friday: 6pm                Sunday: 10am
430,THE HILL OF DELIVERNNACE CHURCH INC.,52 Atu Street Calabar,,,,,,,,Thursday: 6  - 9pm             Friday: 6 - 9pm           Sunday: 9 - 12pm               
431,THE HOLY GHOST REDEMPTION BIBLE CHURCH,7 State Avenue Street Calabar,,,,,,,,Tuesday: 7pm                Friday: 7pm                  Sunday:   9am
432,THE HOLY KINGDOM CHURCH NIGERIA INC.,84 Dan Archibong Street Calabar,,,,,,,,Sunday: 8am 
433,THE HOPE OF GLORY,42 Ediba Road Calabar,,,,,,,,Monday: 5- 7pm       Tuesday: 7 - 12pm       Wednessdy:5:30pm    Sunday: 8:30am (1stService)  10am (2nd Service)
434,THE HOPE OF GLORY CHURCH INT'L  ,9 Obo Street Calabar,,,,,,,,Monday: 6 - 7am            
435,THE HOPE OF GLORY MISSIONARY FOUNDATION ,1 Inyang Ekeng Street Calabar,8033455112  07057026259,,,,,,,Tuesday: 6pm             Friday: 6pm           Sunday: 9am
436,THE JESUS LOVE APOSTOLIC CHURCH,148 M/M Highway Calabar ,,,,,,,,Tuesday: 5 - 6pm (Bible Study)                          Sunday: 9 - 1pm
437,THE LAMB OF GOD MINISTRY (THE LAND OF TRANFORMATION),94 Edibe Edibe Street Calabar,,,,,,,,Tuesday: 5 - 7pm           Sunday: 10 - 12pm
438,THE LAND OF HAPPINESS MINISTRIES ,  28 Atimbo Road Calabar,,,,,,,,Wednessday: 7pm    Thursday: 7pm          Friday: 6am                Saturday: 6am   Sunday: 10sam
439,THE LIGHT CRUSADERS MISSON,12 Adam Duke Street Calabar,,,,,,,,Tuesday: 6 -7pm          Friday: 6 - 7pm              Sunday: 8 - 11am
440,THE LIGHT OF CALVARY CHURCH,60 Atakpa Street Calabar,,,,,,,,Monday: 6pm            Friday: 5pm                 Sunday: 10am
441,THE LIGHT OF GOD FULL GOSPEL CHURCH,200 Ekpo Archibong Road Calabar,,,,,,,,Tuesday: 6 - 8pm          Wednessday: 6 - 12pm   Thursday: 6 - 9pm            Sunday: 10 - 12pm
442,THE LIGHT OF LIFE MISSION ,8 Eshiet Street Calabar,,,,,,,,Monday: 7pm             Wednessday: 6pm        Friday: 6pm                     Sunday: 10am
443,THE LIGHT OF SALVATION CHURCH,3 Nyatawo Lane Calabar,,,,,,,,Tuesday: 7 - 9pm    Friday: 7 - 9pm                Sunday: 9 - 12pm
444,THE LIVING BODY OF CHRIST MINISTRIES INC. (CITY OF LIFE),145/167 Palm Street Calabar,,,,,,,,Wednessday: 5 - 6:30pm                 Thursday: 6 - 8pm         Sunday: 10 - 1pm
445,THE LIVING FOUNDATION OF CHRIST MINISTRY,32/44 Ediba Road Calabar, ,,,,,,,Tuesday: 8-1pm        Thursday: 6 - 8pm      Friday: 9 - 2pm          Sunday: 10 - 1pm
446,THE LIVING GLORYGOSPEL CENTRE,16 Atimbo Road Calabar,,,,,,,,Monday: 5:30pm      Wednessay: 5:30pm   Sunday: 7:30 - 9:30am (1st Service)  9:30- 11:30am(2nd Service)
447,THE LOCUST ARMY INT'L ,11 Atekong Off Big Qua Town Calabar,,,,,,,,Wenessday: 5pm      Thursday: 6pm                 Sunday: 8am
448,THE LORD MIRACLE COVENANT,82 Edibe Edibe Road Calabar,,,,,,,,Monday: 9 - 12pm         Tuesday: 5 - 6pm          Friday: 7 - 8pm             Sunday: 10 - 1pm
449,THE LORD'S CHOSEN CHARISMATIC,Plot 4/Block 26 Chosen Avenue Calabar,,,,,,,,Tuesday: 5pm            Wednesday: 10am      Thursday: 5pm            Sunday: 8am
450,THE LORD'S CHOSEN CHARISMATIC REVIVAL CHURCH,14 Ekorinim (1) Calabar,,,,,,,,Tuesday: 5pm            Wednessday: 10am        Thursday: 5pm             Sunday: 8am
451,THE LORD'S CHOSEN CHARISMATIC REVIVAL MOVEMENT,23 Edgerly Road By Maple Street Calabar,,,,,,,,Sunday: 7am
452,THE LORD'S CHOSEN CHARISMATIC REVIVAL MOVEMENT,107 M/M Highway By Ikot Ansa Busstop Calabar,,,,,,,,Sundy: 7am
453,THE LORD'S GREAT COMMISSION CHURCH,6 Umoh Close Calabar,,,,,,,,Monday: 7 - 8pm              Wednessday: 6pm         Friday: 6 - 7pm          
454,THE LORD'S PORCH,9 Stream Road Ikot Effanga Road Calabar,,,,,,,,Sunday: 8am
455,THE LORD'S PORCH,3 Essien Lane Calabar,,,,,,,,Monday: 6pm            Friday: 6pm                 Sunday: 9am
456,THE LUSH PASTURES CHRISTIAN CENTRE,17/18 Ekpo Abasi Street Calabar,8069371561,,,,,,,Wednessday: 6-8am Friday: 5-8pm             Sunday: 8-11am
457,THE MANGER OF CHRIST CHURCH,18 Technology Street Calabar,,,,,,,,Monday: 6 - 8pm       Wednesdday: 6 - 8pm                     Sunday: 8 - 11am 
458,THE MOUNT ZION MISSION INC.,1 Eket Street Calabar,,,,,,,,Monday: 5 - 8pm           Tuesday: 5 - 8pm          Thursday: 6 - 9pm             Sunday: 9:30 - 12pm 
459,THE OLIVE CHURCH WORLDWIDE,54 Orok-orok Street Off Mount Zion ,,,,,,,,Wednessday: 5:30pm           Sunday: 9am
460,THE PRESBYTERIAN CHURCH OF NIGERIA,5 Ekpiren Close Off Musaha Street Calabar,,,,,,,,Monday: 5 - 6pm       Wednessday: 5pm     Thursday: 5 - 6pm      Sunday: 10am
461,THE PRESBYTERIAN CHURCH OF NIGERIA,32 Edibe Edibe Road Calabar,,,,,,,,Monday: 5pm                Wednessday: 5pm          Sunday: 10pm
462,THE PRESBYTERIAN CHURCH OF NIGERIA,17 Ekorinim (1) Calabar,,,,,,,,Tuesday: 5pm              Wednessday: 5pm              Thursday: 5pm            Sunday:9am
463,THE PRESBYTERIAN CHURCH OF NIGERIA,18 Gracelan Cresent Town Calabar,,,,,,,,Monday: 5pm            Wednesday: 5pm       Sunday: 10am 
464,THE PRESBYTERIAN CHURCH OF NIGERIA,26 Mayne Avenue Street calabar,,,,,,,,Monday: 5pm Wednessday: 5pm             Sunday: 10am  
465,THE PRESBYTERIAN CHURCH OF NIGERIA,6 Ekong Esu Off M/M Highway Calabar,,,,,,,,Wednessday: 5pm        Sunday: 10am
466,THE PRESBYTERIAN CHURCH OF NIGERIA ,7 Noble Street Calabar,,,,,,,,Tuesday: 5pm            Wednesday: 6pm      Thursday: 5pm            Sunday: 9am
467,THE PRESBYTERIAN CHURCH OF NIGERIA ,Hope Waddel Parish Diamond Road Calabar,,,,,,,,Monday: 5 -6pm          Wednessday: 5 - 6pm     Sunday: 10am
468,THE PRESBYTERIAN CHURCH OF NIGERIA (IKOT ANSA PARISH),TTC Compound Calabar,,,,,,,,Sunday: 7 -9am(1st Service)  10 - 12:30pm (2nd Service)   9 - 9:30am (Sunday School)
469,THE PRESBYTERIAN CHURCHOF NIGERIA ,"12 Presbytherian Drive, Nyahasang Calabar ",,,,,,,,Tuesday: 5pm            Wednesssday:6pm       Thursday: 5pm          Sunday: 9am
470,THE PRESBYTERIAN CHURCHOF NIGERIA ,Ikot Nkebre Old Odukpani Road Parish Calabar,,,,,,,,Sunday: 10am               1st day of every month  6am
471,THE PRESBYTERIAN CHURCHOF NIGERIA (HENSHAW TOWN PARISH),23 Egerton Street Calabar,,,,,,,,Sunday:  8am
472,THE PRESBYTERIAN CHURCHOF NIGERIA (OLD TOWN PARISH),33 MCC Road Calabar,,,,,,,,Sunday: 8am 
473,THE PREVAILERS IMMORTAL CHURCH,94 Essien Town Calabar,,,,,,,,Tuesday: 6 - 8pm     Wednessday: 6 - 8pm     Sunday: 8 - 10am
474,"THE RCCG,  POTTER'S COURT PARISH (CRP2)",50 Ekpo Abasi Street Calabar,,,,,,,,Tuesday & Thursday: 6pm                     Sunday: 8am
475,"THE RCCG, BANNER OF HIS LOVE ASSEMBLY (CRP1)",1 Mbora lane off Etta Agbor Road Calabar,,,,,,,,Tuesday & Thursday: 6pm       Sunday: 8am
476,"THE RCCG, CHRIST AMBASSADORS CHURCH (CRP4)",78B Etta Agbor Road Calabar ,,,,,,,,Tuesday: 6pm                  Thursday: 6pm                Sunday: 8am
477,"THE RCCG, CHRIST CHURCH (CRP2)",96 M/M Highway Calabar,,,,,,,,Tuesday: 6pm(digging deep)               Thursday: 6pm (Faith Clinic)                  Sunday: 8am
478,"THE RCCG, CITY OF DAVID PARISH (CRP2)",175 M/M Highway Opp Waec Calabar,,,,,,,,Tuesday: 6pm(digging deep)               Thursday: 6pm (Faith Clinic)                  Sunday: 8am
479,"THE RCCG, CITY OF DAVID PARISH (CRP4)",180 Old Odukpani Road Calabar,,,,,,,,Tuesday: 6pm(digging deep)               Thursday: 6pm (Faith Clinic)                  Sunday: 8am
480,"THE RCCG, DAYSTAR PARISH (CRP1)",42 Ikot Eneobong Street Calabar,,,,,,,,Tuesday: 6pm (Bible Study)            Wednessday: 6am  (Fasting)           Thursday: 7pm   Sunday: 9am
